Addresse,code_postale,departement,Latitude,Longitude,Distance,DurationPoliceMin,MinDistGar,MoyDistGar,train,rer,metro,tramway,Population2017,Densite,Superficie2017,NomMenage,NombreTotalLogement,TauxActive15_64,TauxChomage15_64
Montigny-lès-Cormeilles 95370,95370,95,48.995911299999996,2.1989224999999997,2.421974620245944,0.12416666666666666,1.2837901373496312,27.55200566614545,1,1,0,0,21601.0,5307.4,4.1,7239.0,7570.0,74.6,14.3
Montigny-lès-Cormeilles 95370 (République),95370,95,48.995911299999996,2.1989224999999997,2.421974620245944,0.12416666666666666,1.2837901373496312,27.55200566614545,1,1,0,0,21601.0,5307.4,4.1,7239.0,7570.0,74.6,14.3
Montigny-lès-Cormeilles 95370 (Village),95370,95,48.9959113,2.1989225,2.42197462024559,0.12416666666666666,1.2837901373489244,27.552005666145757,1,1,0,0,21601.0,5307.4,4.1,7239.0,7570.0,74.6,14.3
Montigny-sur-Loing 77690,77690,77,48.3405032,2.757804,5.48620195837597,0.1661111111111111,1.5346595105533072,66.577904757296,1,0,0,0,1742.5,176.60000000000002,11.2,752.5,962.0,79.9,7.800000000000001
Montlhéry 91310,91310,91,48.6406023,2.269244,5.154126643367087,0.14722222222222223,2.819748280050809,31.762388480764084,0,1,0,0,6296.75,1567.25,4.6,2492.5,2727.5,77.975,8.3
Montlignon 95680,95680,95,49.008969,2.2862668999999998,3.5200888385998126,0.18944444444444444,2.4165611852198703,26.74194246324706,1,0,0,0,2978.0,1048.6,2.8,1164.0,1234.0,75.0,6.8
Montmagny 95360,95360,95,48.9728571,2.3435610000000002,1.9202592627962545,0.12777777777777777,0.5122442601376421,23.614124175348067,1,0,0,0,14173.0,4870.4,2.9,5010.0,5460.0,71.1,14.0
Montmagny 95360 (Barrage),95360,95,48.974973299999995,2.3628415,0.55635638723977,0.059444444444444446,0.2767606444391309,23.867827472563445,0,0,0,1,14173.0,4870.4,2.9,5010.0,5460.0,71.1,14.0
Montmagny 95360 (Centre-ville - Carrières),95360,95,48.9723744,2.350733,1.4723250695781005,0.12277777777777778,0.9830407367001744,23.60032820198166,1,0,0,0,14173.0,4870.4,2.9,5010.0,5460.0,71.1,14.0
Montmagny 95360 (Jules Ferry - Trois Communes - Acacias),95360,95,48.9734,2.3469,1.6943076677685271,0.11305555555555556,0.6805394451017113,23.663415667820516,1,0,0,0,14173.0,4870.4,2.9,5010.0,5460.0,71.1,14.0
Montmagny 95360 (Lévriers - Carnot - Plante des Champs - Hameau des Noyers),95360,95,48.9734,2.3469,1.6943076677685271,0.11305555555555556,0.6805394451017113,23.663415667820516,1,0,0,0,14173.0,4870.4,2.9,5010.0,5460.0,71.1,14.0
Montmorency 95160,95160,95,48.9891693,2.3197111,2.385097496557209,0.2011111111111111,2.0058810809345977,24.900743983008766,1,0,0,0,21461.0,3996.5,5.4,8868.0,9867.0,77.0,11.2
Montmorency 95160 (Bas Montmorency),95160,95,48.9883,2.3434,2.203600067748196,0.13166666666666665,0.8560292004024637,24.806332256850567,1,0,0,0,21461.0,3996.5,5.4,8868.0,9867.0,77.0,11.2
Montmorency 95160 (Centre Montmorency),95160,95,48.992151899999996,2.3312678,2.8739417028373704,0.15638888888888888,1.8398296333779303,25.107049569899324,1,0,0,0,21461.0,3996.5,5.4,8868.0,9867.0,77.0,11.2
Montmorency 95160 (Haut Montmorency),95160,95,48.9883,2.3434,2.203600067748196,0.13166666666666665,0.8560292004024637,24.806332256850567,1,0,0,0,21461.0,3996.5,5.4,8868.0,9867.0,77.0,11.2
Montreuil 93100,93100,93,48.8623357,2.4412184,0.22908242275689003,0.01861111111111111,0.04486469595754837,20.69729241077002,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Bas Montreuil - Bobillot),93100,93,48.8510215,2.4264544,1.8794110542859765,0.23694444444444446,0.5819371797295725,20.18829712566488,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Bas Montreuil - Etienne Marcel - Chanzy),93100,93,48.8642,2.4432,0.05760511823978169,0.020833333333333332,0.28731450648492574,20.77879615195812,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Bel Air - Grand Pêchers),93100,93,48.8642,2.4432,0.05760511823978169,0.020833333333333332,0.28731450648492574,20.77879615195812,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Branly - Boissière),93100,93,48.8730786,2.4620580000000003,1.6820903821790973,0.15861111111111112,1.7520902063667771,21.58533907051088,0,1,0,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Centre-ville),93100,93,48.86203629999999,2.442687,0.2456261020021362,0.03,0.10156983233688087,20.7519252537901,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Jean Moulin - Beaumonts),93100,93,48.8588973,2.450117,0.8197136788841863,0.07666666666666666,0.7292301697780661,21.0341816501981,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (La Noue Clos Français),93100,93,48.8656335,2.4316262,0.8067829604973188,0.1625,0.820924194570027,20.359989430466033,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Montreau - Le Morillon),93100,93,48.864652,2.4752949,1.5519788209300143,0.11861111111111111,0.965318285133172,22.076495347512978,0,1,0,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Ramenas - Léo Lagrange),93100,93,48.87474320000001,2.4513748,1.3404236839966621,0.1411111111111111,1.6041624449561789,21.1792051319718,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Ruffins - Théophile Sueur),93100,93,48.8656893,2.4680598,1.8029499894832752,0.1438888888888889,1.3809740645116964,21.77631680795571,0,1,0,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Signac - Mûrs à Pêches),93100,93,48.8678548,2.4506557,0.7260580767104016,0.10777777777777778,0.9503607510029413,21.08628179241798,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Solidarité - Carnot),93100,93,48.8550316,2.4424463,1.0237996437104648,0.1363888888888889,0.6017754506582875,20.74536762625654,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montreuil 93100 (Villiers - Barbusse),93100,93,48.8692729,2.4389195,0.6159307639645902,0.09583333333333334,0.8344683851017963,20.650538486898082,0,0,1,0,109897.0,12320.3,8.9,47112.0,50709.0,77.7,17.9
Montrouge 92120 (Boileau - Ferry),92120,92,48.8162,2.3139,0.04743000885528035,0.006111111111111111,0.5097068591354241,19.51606472167321,0,0,1,0,50260.0,24280.2,2.1,24960.0,27274.0,80.9,9.8
Montrouge 92120 (Jean-Jaurès),92120,92,48.8166341,2.3115669,0.16726313175259086,0.02388888888888889,0.6417745646823275,19.52050558912051,0,0,1,0,50260.0,24280.2,2.1,24960.0,27274.0,80.9,9.8
Montrouge 92120 (Le vieux Montrouge),92120,92,48.8158612,2.3180554,0.33332994085981676,0.04138888888888889,0.3366352363729378,19.496364377120734,0,0,1,0,50260.0,24280.2,2.1,24960.0,27274.0,80.9,9.8
Montrouge 92120 (Porte de Châtillon),92120,92,48.8219899,2.3168688,0.7251096414503078,0.0825,0.33511612621939646,19.273696918295297,0,0,0,1,50260.0,24280.2,2.1,24960.0,27274.0,80.9,9.8
Montry 77450,77450,77,48.8875007,2.8282263,4.259767091616776,0.14972222222222223,0.39638993498208686,41.987747842157226,1,0,0,0,1835.25,563.3875,4.85,714.25,786.125,79.025,7.75
Montsoult 95560,95560,95,49.0704484,2.312001,7.811535236303662,0.285,0.9223074618109413,31.88246543293525,1,0,0,0,1895.25,371.35,5.875000000000001,739.75,790.0,79.65,8.200000000000001
